epoch,property_id,occupancy,staff,fatigue,revpar
0,0,0.6,0.95,0.25,75
1,0,0.63,0.94,0.26,78
2,0,0.6599999999999999,0.9299999999999999,0.27,81
3,0,0.69,0.9199999999999999,0.28,84
4,0,0.72,0.9099999999999999,0.29,87
5,0,0.75,0.8999999999999999,0.3,90
6,0,0.78,0.8899999999999999,0.31,93
7,0,0.8099999999999999,0.8799999999999999,0.32,96
8,0,0.84,0.87,0.33,99
9,0,0.87,0.86,0.33999999999999997,102
0,1,0.6,0.95,0.25,75
1,1,0.63,0.94,0.26,78
2,1,0.6599999999999999,0.9299999999999999,0.27,81
3,1,0.69,0.9199999999999999,0.28,84
4,1,0.72,0.9099999999999999,0.29,87
5,1,0.75,0.8999999999999999,0.3,90
6,1,0.78,0.8899999999999999,0.31,93
7,1,0.8099999999999999,0.8799999999999999,0.32,96
8,1,0.84,0.87,0.33,99
9,1,0.87,0.86,0.33999999999999997,102
0,2,0.6,0.95,0.25,75
1,2,0.63,0.94,0.26,78
2,2,0.6599999999999999,0.9299999999999999,0.27,81
3,2,0.69,0.9199999999999999,0.28,84
4,2,0.72,0.9099999999999999,0.29,87
5,2,0.75,0.8999999999999999,0.3,90
6,2,0.78,0.8899999999999999,0.31,93
7,2,0.8099999999999999,0.8799999999999999,0.32,96
8,2,0.84,0.87,0.33,99
9,2,0.87,0.86,0.33999999999999997,102
